item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10
butter,cheese,chips,coffee,cookies,ham,milk,tea,water,yogurt
apples,beer,bread,butter,chips,coffee,cookies,ham,tea,water
bread,cheese,chips,coffee,eggs,ham,juice,milk,tea,yogurt
apples,beer,butter,cheese,chips,cookies,eggs,juice,milk,yogurt
apples,bread,cheese,cookies,eggs,ham,juice,milk,water,yogurt
apples,beer,chips,coffee,cookies,eggs,milk,tea,water,yogurt
beer,bread,butter,cheese,cookies,eggs,ham,milk,tea,yogurt
apples,butter,coffee,cookies,eggs,ham,juice,milk,tea,water
apples,beer,cheese,chips,coffee,ham,juice,tea,water,yogurt
bread,butter,cheese,chips,coffee,ham,juice,milk,tea,yogurt
apples,beer,bread,butter,cheese,cookies,eggs,juice,water,yogurt
apples,beer,bread,butter,cookies,eggs,juice,tea,water,yogurt
apples,bread,butter,cheese,coffee,eggs,juice,milk,water,yogurt
apples,beer,bread,cheese,chips,coffee,cookies,eggs,tea,water
apples,beer,butter,cheese,chips,coffee,cookies,juice,milk,water
apples,butter,cheese,chips,cookies,ham,milk,tea,water,yogurt
apples,beer,bread,butter,cheese,chips,coffee,ham,juice,water
apples,beer,bread,cheese,chips,coffee,eggs,ham,tea,water
apples,beer,butter,cheese,chips,coffee,eggs,tea,water,yogurt
beer,bread,cheese,chips,cookies,ham,juice,milk,water,yogurt
apples,bread,cheese,chips,coffee,ham,juice,milk,tea,water
apples,beer,butter,chips,cookies,eggs,juice,milk,water,yogurt
beer,bread,butter,cheese,chips,coffee,juice,milk,tea,yogurt
beer,bread,cheese,chips,coffee,ham,juice,milk,tea,yogurt
apples,beer,butter,coffee,eggs,juice,milk,tea,water,yogurt
bread,cheese,chips,coffee,cookies,eggs,juice,milk,tea,yogurt
beer,bread,butter,coffee,eggs,ham,juice,tea,water,yogurt
apples,beer,butter,chips,cookies,eggs,ham,juice,tea,yogurt
